"","X","species","annual","family","origin","Functional.group","SCT","SCP","Starch","CN","Carbon","N","Mass","Length","Shape","Compact","Disp","Texture","mucilage","Perimeter","Intensity","W","area","dispcat"
"1",1,"ALLFAL","bulb","ALLIACEAE","Native","Forb",1.67332005306815,-0.887436770457525,0,13.369306310071,0.436761092150171,32.6689419795222,1.40224644733382,1.02351331281187,-4.12983271680384,2.6529739074605,0,-2.27583919471629,0,1.90348360901154,5.033866,2.0650592,1.37106429521256,"coarse"
"2",2,"ANAARV","annual","Primulaceae","Non-Native","Forb",1.34164078649987,-1.22905077634581,0,21.9851370851371,0.505330016583748,22.9850746268657,-0.837987998616981,0.197744181029447,-4.76725566032509,2.68813520264763,0,-0.972138196560036,0,1.12488501806978,7.176409,1.0280981,-0.0964531707696968,"coarse"
"3",3,"AVEFAT","annual","Poaceae","Non-Native","Grass",2.56904651573303,-1.2682391662442,1,23.9674126790898,0.425799367825653,17.7657627682582,2.59260493074192,2.11680362962042,-2.04939670969689,2.7091420281871,1,-1.1708040533053,0,2.84816535645264,36.966633,2.3974183,2.71037456434246,"elong_long"
"4",4,"BROELE","perennial","THEMIDACEAE","Native","Forb",1.84390889145858,-0.883956457720279,1,17.1522229179712,0.457297161936561,26.661101836394,0.982153375973858,0.687996136683123,-5.04187359897924,2.67311430752396,0,-1.87772634971231,0,1.64999655708082,3.8314516,1.7016795,0.892962655880126,"coarse"
"5",5,"BROHOR","annual","Poaceae","Non-Native","Grass",0.469041575982343,-0.737359501377006,1,21.4764735017335,0.403233106013639,18.7755734655921,0.544357106974783,2.44769550676209,-1.80518576791072,2.49110949112267,1,1.53311742370047,0,3.14007574814226,31.684679,1.8789379,2.35146358659565,"elong_short"
"6",6,"CALCIL","annual","MONTIACEAE","Native","Forb",1.67332005306815,-1.12033132612472,1,14.6817717901613,0.478072449318711,32.5623130608176,-1.08803509163034,0.339875047630171,-3.23557577499489,2.68642732796976,0,-3.85646446278322,0,1.19166917413471,7.024024,0.94168466,-0.0387842700084479,"smooth"
"7",7,"CALPAU","annual","Asteraceae","Native","Forb",2.23606797749979,-0.733078420939704,0,16.2420357913441,0.452674212946586,27.8705341351256,0.327661004001989,1.13917092051146,-2.52762839039768,2.6312299803459,2,-1.9395354010061,0,1.93309369665415,7.3893639,1.444655,1.14023968676381,"elong_short"
"8",8,"CHAGLA","annual","Asteraceae","Native","Forb",1.04880884817015,-0.261312541120922,0,17.2153330019881,0.48241295264624,28.0222841225627,-0.667068810391264,1.4986787391019,-1.78886296021394,2.42411281993147,1,-1.13784512469487,0,2.23920067895194,13.89008905,0.66028713,0.604127424490171,"elong_short"
"9",9,"CHLPOM","bulb","AGAVACEAE","Native","Forb",2.14476105895272,-1.15967792412775,0,14.4921601964674,0.497337115072934,34.3176661264182,2.3095287481084,1.38002907514096,-3.3870510452423,2.65631305032016,0,-0.731069404315595,0,2.28194711749168,4.4755521,2.7120518,2.06510837333592,"coarse"
"10",10,"CLAGRA","annual","Onagraceae","Native","Forb",1.4142135623731,0.646097665126698,0,8.08259946949602,0.517165648336728,63.9850644942295,-0.895508192691627,0.579909667096663,-2.6755143953108,2.63100449359883,0,-1.18766487113728,0,1.37611949731109,11.849313,0.8153881,0.0293713186481763,"smooth"
